beta,beta_eq1,beta_eq3,beta_eq4,beta_eq5,beta_eq7,beta_eq8,beta_eq9,beta_eq11,beta_eq13,beta_eq15,beta_eq16,beta_eq17,beta_eq32
870,0,-28.972424844582065,1,-36.09762628410374,-34.275130389009405,3,-28.972424844582065,-29.100993333744555,-26.930438698008857,-65.0700511286858,7,-23.455573469675414,15
880,0,-29.238197178560085,1,-36.42876012740669,-34.58954595656212,3,-29.238197178560085,-29.3679450632211,-27.17747930942528,-65.66695730596678,7,-23.670738149168756,15
890,0,-29.503494359302294,1,-36.75930196282536,-34.90339940550723,3,-29.503494359302294,-29.634419530914215,-27.42407825656403,-66.26279632212766,7,-23.88551815283006,15
900,0,-29.768323192462617,1,-37.08926026973131,-35.21669878711009,3,-29.76832319246273,-29.90042357267896,-27.670241865414482,-66.85758346219404,7,-24.099918990399033,15
910,0,-30.032690310540374,1,-37.41864331175725,-35.529451947789084,3,-30.032690310540374,-30.165963850446815,-27.915976301015007,-67.45133362229762,7,-24.31394603143201,15
920,0,-30.29660217915091,1,-37.747459144610275,-35.8416665365354,3,-30.29660217915091,-30.431046858525406,-28.161287573282266,-68.04406132376107,7,-24.527604510379547,15
930,0,-30.560065103004376,1,-38.07571562352064,-36.15335001198446,3,-30.560065103004376,-30.695678929602536,-28.406181542568447,-68.63578072652501,7,-24.740899531425498,15
940,0,-30.823085231607138,1,-38.40342041034569,-36.46450964916198,3,-30.823085231607138,-30.95986624047373,-28.650663924960554,-69.22650564195283,7,-24.95383607310407,15
950,0,-31.085668564703383,1,-38.73058098034937,-36.77515254592106,3,-31.085668564703383,-31.223614817507837,-28.894740297338785,-69.81624954505276,7,-25.16641899270394,15
960,0,-31.34782095746982,1,-39.057204628674754,-37.08528562908759,3,-31.347820957469935,-31.48693054186458,-29.138416102205156,-70.40502558614457,7,-25.378653030475107,15
970,0,-31.609548125478682,1,-39.38329847652699,-37.394915660331776,3,-31.609548125478682,-31.74981915447961,-29.38169665229634,-70.99284660200556,7,-25.590542813645584,15
980,0,-31.87085564943959,1,-39.70886947708243,-37.70404924177819,3,-31.870855649439704,-32.01228626082775,-29.62458713499177,-71.57972512652202,7,-25.802092860261382,15
990,0,-32.13174897973511,1,-40.03392442113841,-38.01269282137048,3,-32.13174897973511,-32.27433733547798,-29.86709261652925,-72.16567340087352,7,-26.013307582857806,15
1000,0,-32.39223344075765,1,-40.35846994251767,-38.32085269800325,3,-32.392233440757764,-32.53597772645071,-30.109218046036176,-72.75070338327544,7,-26.224191291970897,15
